Id,RelatedPostId,PostId,LinkTypeId,CreationDate
222528,23392,23391,3,2017-10-01T11:38:44.543
224183,15484,23493,1,2017-10-03T14:17:09.163
224464,5706,23493,1,2017-10-03T18:37:20.097
225259,23486,23462,1,2017-10-04T13:52:42.860
225465,18279,23486,1,2017-10-04T17:09:50.453
228816,15149,23605,1,2017-10-08T07:44:34.843
232934,22,12883,1,2017-10-11T19:07:09.610
234220,17096,23736,1,2017-10-13T00:28:14.627
238102,23737,23853,1,2017-10-16T20:10:56.630
239193,17282,23696,1,2017-10-17T23:36:20.410
240790,20028,23914,1,2017-10-19T18:57:01.840
241012,11118,23922,1,2017-10-19T23:38:40.733
241682,5990,23933,1,2017-10-20T16:29:57.587
242277,23955,23954,1,2017-10-21T09:15:29.343
242904,22690,23963,1,2017-10-21T21:59:13.957
